iter	Logloss
132	0.4258110553
133	0.4252132057
134	0.4247505035
135	0.4242639323
136	0.4237216811
137	0.4232322371
138	0.4227775312
139	0.4223208081
140	0.4218602187
141	0.4214262435
142	0.4209535591
143	0.4205047656
144	0.4200157093
145	0.4195461198
146	0.4189957137
147	0.4186196909
148	0.4181661468
149	0.4177569229
150	0.4172774863
151	0.4168877964
152	0.4163811454
153	0.4159601227
154	0.4154391293
155	0.414996793
156	0.4145886406
157	0.4141634866
158	0.4137686365
159	0.4133451393
160	0.4127577321
161	0.4123720207
162	0.4119579734
163	0.4115281788
164	0.4110985086
165	0.4107668188
166	0.4102994429
167	0.4098375813
168	0.4094518965
169	0.4090279379
170	0.4086069348
171	0.408210099
172	0.4077708726
173	0.407312841
174	0.4069446444
175	0.4065174841
176	0.4060806262
177	0.4057545734
178	0.4053427788
179	0.4049434116
180	0.4045217367
181	0.4041173934
182	0.4036994565
183	0.4033237641
184	0.4029098466
185	0.4025361739
186	0.4022059903
187	0.401788986
188	0.4013321979
189	0.4009965782
190	0.4006595591
191	0.4003308068
192	0.3999599146
193	0.3995945212
194	0.3992337243
195	0.3988236569
196	0.3984632937
197	0.3981160891
198	0.3977849392
199	0.3973605302
200	0.3969743531
201	0.3966304771
202	0.3962344981
203	0.395889603
204	0.3955199285
205	0.3951719884
206	0.3948591247
207	0.3944751925
208	0.3941271355
209	0.3937637527
210	0.3934108716
211	0.3930723181
212	0.3927297606
213	0.3922941241
214	0.3919623167
215	0.3916005808
216	0.3912316727
217	0.3908940204
218	0.3905364034
219	0.3901657968
220	0.3898446952
221	0.3895154999
222	0.3891755914
223	0.3888386533
224	0.3884463005
225	0.3881123856
226	0.3877491932
227	0.3873972899
228	0.3870624869
229	0.3867043465
230	0.3863494738
231	0.3860097238
232	0.385652664
233	0.3852831277
234	0.3849638211
235	0.3846646643
236	0.3843547259
237	0.384027277
238	0.3836807838
239	0.3833269936
240	0.3829598715
241	0.382643474
242	0.3823099859
243	0.3819297528
244	0.3816099127
245	0.3812877136
246	0.3809358693
247	0.3806361873
248	0.38030789
249	0.3799669025
250	0.3796415638
251	0.3793189408
252	0.3789902154
253	0.3786478225
254	0.3783214178
255	0.3780167893
256	0.3776353837
257	0.3772819235
258	0.3769411929
259	0.3766190137
260	0.3763102926
261	0.3760047229
262	0.3756505536
263	0.3753506837
264	0.3750540815
265	0.3747249544
266	0.3744077633
267	0.3740854087
268	0.3737353625
269	0.3733929482
270	0.3730691676
271	0.3727561047
272	0.3724628983
273	0.3721741056
274	0.3718749331
275	0.3715450897
276	0.3712329525
277	0.3709048707
278	0.370638077
279	0.3703486978
280	0.3700428483
281	0.3697179665
282	0.369423966
283	0.3691464562
284	0.3688695536
285	0.3685676443
286	0.3682221322
287	0.3679338057
288	0.3676244635
289	0.3673444286
290	0.3670469597
291	0.3667720266
292	0.3664738409
293	0.3661372902
294	0.3658378281
295	0.3655324456
296	0.3652375822
297	0.3649683735
298	0.3646905079
299	0.3643974431
300	0.364112913
301	0.363835026
302	0.3635002739
303	0.3632019397
304	0.3629309165
305	0.3626621865
306	0.3623475202
307	0.3620874118
308	0.3617847834
309	0.361514952
310	0.3612585834
311	0.3609833292
312	0.3606906459
313	0.3603888022
314	0.3601325488
315	0.3598650098
316	0.3595826063
317	0.3593214353
318	0.3590464385
319	0.3587845645
320	0.3585254621
321	0.3582099322
322	0.3579135652
323	0.357646741
324	0.3574009077
325	0.3570949443
326	0.3568014322
327	0.3565280893
328	0.356279189
329	0.3560348335
330	0.3557778303
331	0.3554995727
332	0.3552428028
333	0.3549700653
334	0.3547077805
335	0.3544464364
336	0.3542123008
337	0.353965714
338	0.3537120528
339	0.3534449618
340	0.3531857149
341	0.3529265726
342	0.3526714031
343	0.3524323074
344	0.3521799285
345	0.3519218888
346	0.351681358
347	0.3514245238
348	0.3511220092
349	0.3508709452
350	0.3505910448
351	0.350350205
352	0.3500908486
353	0.3498348467
354	0.349583768
355	0.3493453668
356	0.3491055428
357	0.3488621197
358	0.348612924
359	0.3483638623
360	0.3481233382
361	0.3478780281
362	0.3476181983
363	0.3473692671
364	0.3471392661
365	0.3469106113
366	0.3466732009
367	0.3464530838
368	0.3462127816
369	0.3459770003
370	0.3457137445
371	0.3455001307
372	0.3452820841
373	0.3450323375
374	0.3447934744
375	0.3445557331
376	0.344334906
377	0.3441065485
378	0.3438774663
379	0.3436505843
380	0.3434170577
381	0.3431788227
382	0.3429394517
383	0.3427196745
384	0.3424777734
385	0.3422154675
386	0.3419876075
387	0.3417497948
388	0.3415355291
389	0.3413173191
390	0.3410922763
391	0.3408709994
392	0.3406234969
393	0.3404124289
394	0.3401923967
395	0.3399603431
396	0.3397574536
397	0.3395260763
398	0.3392911157
399	0.3390561387
400	0.33882015
401	0.3386045083
402	0.3383934744
403	0.3381953174
404	0.3379464022
405	0.3377093984
406	0.3375092976
407	0.3373110827
408	0.3370968503
409	0.3368957979
410	0.3366734887
411	0.3364715346
412	0.336283459
413	0.3360831211
414	0.3358660405
415	0.3356133639
416	0.3354065549
417	0.335196527
418	0.33499955
419	0.3347817247
420	0.334582766
421	0.3343757557
422	0.3341280088
423	0.333908993
424	0.3336883788
425	0.3334685145
426	0.3332649103
427	0.3330456331
428	0.3328526252
429	0.3326589609
430	0.3324516908
431	0.3322541413
432	0.3320580972
433	0.3318439537
434	0.3316237202
435	0.331447114
436	0.3312145215
437	0.3310315358
438	0.3308476126
439	0.3306407299
440	0.3304556813
441	0.3302456617
442	0.3300369328
443	0.3298289966
444	0.3296133585
445	0.3294195517
446	0.3292037019
447	0.3290076054
448	0.3288147419
449	0.3285976323
450	0.3283805548
451	0.328168863
452	0.3279849892
453	0.3277780137
454	0.3275843158
455	0.3274082263
456	0.3272205633
457	0.3269693749
458	0.3267984852
459	0.3266148128
460	0.3264374601
461	0.3262637758
462	0.326076629
463	0.3258755373
464	0.3256855139
465	0.3254761257
466	0.3253013461
467	0.3251095503
468	0.3248902206
469	0.3246854107
470	0.3244851112
471	0.3243105827
472	0.3241269513
473	0.3239267282
474	0.3237386047
475	0.3235514075
476	0.3233556363
477	0.3231622002
478	0.3229801862
479	0.3227824756
480	0.3226023931
481	0.3224060578
482	0.3222228459
483	0.3220572815
484	0.3218572869
485	0.3216876287
486	0.3215118751
487	0.3213349369
488	0.3211658931
489	0.3210129875
490	0.3208354134
491	0.3206602109
492	0.3204779994
493	0.3203151596
494	0.3201479751
495	0.3199719639
496	0.319804028
497	0.3196191196
498	0.3194787864
499	0.3193018055
500	0.3191081866
501	0.3189354807
502	0.3187575109
503	0.3185940291
504	0.3184226705
505	0.3182434443
506	0.3180285626
507	0.3178572948
508	0.3176852776
509	0.3175026841
510	0.317330202
511	0.317135373
512	0.3169551241
513	0.3167859211
514	0.3166227639
515	0.3164652642
516	0.3162729191
517	0.3160756017
518	0.3159268691
519	0.3157559187
520	0.3155858241
521	0.3154227405
522	0.3152527906
523	0.3150367629
524	0.3148814319
525	0.3147234357
526	0.3145467817
527	0.3143856216
528	0.3142114317
529	0.3140430471
530	0.3138875431
531	0.3137015564
532	0.3135441817
533	0.313395409
534	0.3132257439
535	0.3130367693
536	0.3128700987
537	0.3127361233
538	0.3125850253
539	0.3124156717
540	0.3122503494
541	0.3120842856
542	0.3119343231
543	0.3117153036
544	0.3115657505
545	0.3113850527
546	0.3112308141
547	0.3110896191
548	0.3109147936
549	0.310756969
550	0.310602752
551	0.3104523225
552	0.3102590384
553	0.3100909248
554	0.3099666122
555	0.3098243192
556	0.3096593485
557	0.3095105262
558	0.3093376516
559	0.3091793793
560	0.3090280887
561	0.3088619328
562	0.3087081834
563	0.3085446104
564	0.3083846034
565	0.3082284339
566	0.3080443213
567	0.3078902286
568	0.3077213779
569	0.3075667295
570	0.3074159339
571	0.3072406444
572	0.3070899233
573	0.3069167626
574	0.3067569206
575	0.3066204075
576	0.306446583
577	0.3063067588
578	0.3061604706
579	0.3060061159
580	0.3058311915
581	0.3056892575
582	0.3055272519
583	0.3053840532
584	0.3052348251
585	0.3050897846
586	0.3049192105
587	0.3047997486
588	0.3046298896
589	0.3044756206
590	0.3043342793
591	0.3041630865
592	0.303976733
593	0.3038090449
594	0.3036633152
595	0.3035170042
596	0.3034343666
597	0.3032836649
598	0.3031569183
599	0.3030146076
600	0.3028401835
601	0.3026981209
602	0.3025563978
603	0.3023933313
604	0.3022470752
605	0.302097351
606	0.301965878
607	0.301813851
608	0.3016743141
609	0.3015324785
610	0.3013882195
611	0.3012446826
612	0.3011007704
613	0.3009493732
614	0.3008004211
615	0.3006614985
616	0.300537427
617	0.3003979191
618	0.300254878
619	0.3001005122
620	0.2999680015
621	0.2998360868
622	0.2996816339
623	0.2995589558
624	0.2994140998
625	0.2992766861
626	0.2991256216
627	0.298967666
628	0.2988051259
629	0.2986361293
630	0.2985646213
631	0.2984225684
632	0.298267251
633	0.2981229015
634	0.2979853951
635	0.2978313026
636	0.2977158072
637	0.2975874163
638	0.2974518512
639	0.2973010194
640	0.2971477012
641	0.2969994145
642	0.2968784439
643	0.2967410792
644	0.2965973583
645	0.2964459626
646	0.2963106872
647	0.2961655463
648	0.2960077597
649	0.2959463517
650	0.2957953928
651	0.2956685555
652	0.2955502236
653	0.2954381747
654	0.2952890646
655	0.2951523708
656	0.2950073846
657	0.2948586523
658	0.2947210933
659	0.2945869628
660	0.2944475151
661	0.2943065571
662	0.294177481
663	0.2940644477
664	0.2939265052
665	0.2937846951
666	0.2936478665
667	0.2935289561
668	0.2933930662
669	0.2932580229
670	0.2931016491
671	0.2929449135
672	0.292819386
673	0.2926852903
674	0.2925481993
675	0.2924172198
676	0.2922717811
677	0.2921214652
678	0.2919764366
679	0.291845127
680	0.2917051169
681	0.2915622838
682	0.2914341629
683	0.2912894425
684	0.2911710315
685	0.2910282606
686	0.2908547634
687	0.2907920245
688	0.290659603
689	0.2905257813
690	0.2904664133
691	0.2903468638
692	0.2902147555
693	0.2900845253
694	0.2899521819
695	0.2898481028
696	0.2897164847
697	0.2896335835
698	0.2895220754
699	0.2894064819
700	0.2892792761
701	0.2891557167
702	0.2890311928
703	0.288880679
704	0.2887409966
705	0.2886776691
706	0.2885398519
707	0.2884273784
708	0.2883035369
709	0.2881714857
710	0.2880231114
711	0.2878919796
712	0.287734204
713	0.2876121023
714	0.2874900014
715	0.287397607
716	0.2872507585
717	0.2871344743
718	0.2870098175
719	0.2868852351
720	0.2867593212
721	0.2866309684
722	0.2864987348
723	0.2863559608
724	0.2862298412
725	0.286110655
726	0.2860187314
727	0.2858885892
728	0.2857501179
729	0.2856941549
730	0.2855739116
731	0.2854552487
732	0.2853318119
733	0.2851992065
734	0.2850502477
735	0.2849016517
736	0.2847671574
737	0.2846485424
738	0.2845175297
739	0.2843959813
740	0.2842810643
741	0.2841238269
742	0.2839867394
743	0.2838711903
744	0.2837558183
745	0.2836225422
746	0.2835004068
747	0.2833703163
748	0.283230173
749	0.2831063103
750	0.2829553849
751	0.2829099404
752	0.2827947468
753	0.2826650941
754	0.2825213827
755	0.2823768241
756	0.2822768836
757	0.282141326
758	0.2820192727
759	0.2819007642
760	0.2817752394
761	0.2816341387
762	0.2815220345
763	0.2814061322
764	0.2812774889
765	0.2812174068
766	0.281081899
767	0.2809806412
768	0.2808552698
769	0.280727708
770	0.2806033416
771	0.2805172469
772	0.2804063452
773	0.2802947552
774	0.2801782208
775	0.2800679061
776	0.2799284838
777	0.2798291869
778	0.2796891481
779	0.2795363802
780	0.2793927654
781	0.2792586154
782	0.2791469112
783	0.2789985892
784	0.278887274
785	0.2787716878
786	0.278653158
787	0.278537631
788	0.2784211747
789	0.2782851465
790	0.2781647511
791	0.2780468416
792	0.2779356642
793	0.2778289227
794	0.2777163639
795	0.2776089228
796	0.2774913857
797	0.277371561
798	0.2772622265
799	0.2771354055
800	0.2769998346
801	0.2769000913
802	0.2767789295
803	0.2766761948
804	0.2765491026
805	0.2765065706
806	0.2763924402
807	0.2762602049
808	0.2761361781
809	0.2760229182
810	0.2759591676
811	0.275858414
812	0.2757484582
813	0.2756305633
814	0.2754973379
815	0.2754050551
816	0.2752756072
817	0.2751662468
818	0.2751190814
819	0.2749875059
820	0.2748749088
821	0.2747701408
822	0.2746417699
823	0.2745191134
824	0.2743559611
825	0.2742528998
826	0.2741734552
827	0.2740546607
828	0.2739500702
829	0.2738326659
830	0.2737118774
831	0.27360433
832	0.2734943828
833	0.2733682997
834	0.2732532599
835	0.2731246932
836	0.2730075001
837	0.2728940459
838	0.2728060616
839	0.2726549628
840	0.2725927421
841	0.2724941034
842	0.2723987335
843	0.2723580939
844	0.2722387202
845	0.2721214464
846	0.2720111577
847	0.2718934228
848	0.2717924006
849	0.2716698789
850	0.2716162348
851	0.271491591
852	0.271425582
853	0.2713312319
854	0.2712169
855	0.2711136258
856	0.2710146433
857	0.2708857849
858	0.2707761997
859	0.2706642181
860	0.2705598665
861	0.2704552202
862	0.2703506835
863	0.270210962
864	0.2701638411
865	0.2700608647
866	0.2699444453
867	0.2698433292
868	0.2697387873
869	0.2696196548
870	0.2695362709
871	0.2694488897
872	0.2694113842
873	0.2692927156
874	0.2691937025
875	0.2690894694
876	0.2689789119
877	0.2688802006
878	0.2687992895
879	0.2686874543
880	0.2685959738
881	0.2684700719
882	0.268342927
883	0.2682218977
884	0.2681250356
885	0.2680767536
886	0.2679665299
887	0.2679180655
888	0.2677967769
889	0.2676951208
890	0.2675960203
891	0.2674965688
892	0.2674105255
893	0.2673072706
894	0.2671938293
895	0.2670893972
896	0.2669664417
897	0.2668797305
898	0.2667671679
899	0.2666395067
900	0.2665979827
901	0.2664949693
902	0.2663774246
903	0.2663237324
904	0.2662192659
905	0.2661283393
906	0.2660839027
907	0.2659741249
908	0.265863485
909	0.2657171941
910	0.2656111703
911	0.2655168234
912	0.2654024859
913	0.2653107965
914	0.2652199375
915	0.2651346863
916	0.2650352928
917	0.2649247985
918	0.2648883807
919	0.2647634026
920	0.264651897
921	0.2645508925
922	0.264441947
923	0.2643657839
924	0.2642690364
925	0.2641495238
926	0.2640414334
927	0.2639146685
928	0.2638685485
929	0.2637662458
930	0.2636618743
931	0.2635700419
932	0.2634560512
933	0.2633577265
934	0.2632984892
935	0.2632280122
936	0.2631393368
937	0.2630473999
938	0.262993375
939	0.2628861027
940	0.2628093846
941	0.2626975374
942	0.2626649792
943	0.2625498952
944	0.2624577975
945	0.2623423474
946	0.262246694
947	0.2621374697
948	0.2620968507
949	0.2619952865
950	0.2618786078
951	0.2617777701
952	0.2616797932
953	0.2615920702
954	0.2614925447
955	0.2613807873
956	0.2612839947
957	0.2611837868
958	0.2610835192
959	0.2609839603
960	0.2608837781
961	0.2607842306
962	0.2606645556
963	0.2605695038
964	0.2605255417
965	0.2604214623
966	0.2603285736
967	0.2602325673
968	0.2601383099
969	0.260044215
970	0.2599582111
971	0.2598536342
972	0.2597587827
973	0.2596584654
974	0.2595425462
975	0.2594390066
976	0.2593871896
977	0.2593081761
978	0.2592140627
979	0.2591743693
980	0.2590610648
981	0.2589472159
982	0.2588489519
983	0.2587479504
984	0.2586537235
985	0.2585490566
986	0.2584604399
987	0.2583595703
988	0.258267261
989	0.2581744213
990	0.258078363
991	0.2580003025
992	0.2579555848
993	0.2578562147
994	0.2577664471
995	0.257732988
996	0.2576322181
997	0.2575213432
998	0.2574245416
999	0.2573602844
